sensor_id,prediction,truth
400001,63.607327,64.1
400017,64.50684,64.8
400030,59.660553,59.5
400040,66.968704,67.9
400045,69.12206,69.2
400052,55.05134,32.800003
400057,64.65345,63.899998
400059,66.66899,68.1
400065,65.661446,65.8
400069,66.41678,66.6
400073,66.2989,61.7
400084,67.2535,67.2
400085,66.17232,67.1
400088,63.23179,58.0
400096,63.574474,64.4
400097,67.330345,66.9
400100,66.73536,64.5
400104,67.16138,67.7
400109,67.634026,67.8
400122,63.880817,65.4
400147,66.27898,66.7
400148,50.98678,32.800003
400149,66.90438,65.7
400158,59.028625,68.1
400160,67.88986,68.1
400168,60.380486,61.6
400172,64.190216,65.9
400174,66.86155,64.3
400178,62.52397,63.2
400185,53.005318,51.1
400201,63.649895,63.3
400206,64.56249,63.3
400209,67.92779,67.1
400213,68.31276,69.3
400221,65.0213,66.5
400222,60.837643,58.5
400227,47.337845,37.5
400236,66.74034,66.9
400238,58.682438,60.1
400240,64.86931,67.5
400246,59.57975,60.2
400253,64.54081,62.7
400257,63.1752,64.6
400258,54.106216,56.1
400268,63.645496,53.6
400274,55.890347,44.800003
400278,64.677574,54.5
400280,66.17606,65.0
400292,67.448586,66.3
400296,66.13301,66.9
400298,64.56486,62.2
400330,67.27322,66.4
400336,47.602695,42.2
400343,65.35361,65.5
400353,54.004868,55.8
400372,65.56094,63.8
400394,70.104004,70.4
400400,46.570576,27.400002
400414,59.98009,58.5
400418,50.57102,37.6
400429,66.96662,66.4
400435,66.817276,65.4
400436,67.62677,66.6
400440,63.137028,62.0
400449,53.52481,55.0
400457,65.76327,66.4
400461,39.961666,23.0
400464,46.43199,37.4
400479,62.168694,62.399998
400485,55.16388,39.300003
400499,65.4536,64.4
400507,58.12681,57.1
400508,61.973404,56.1
400514,62.063614,60.7
400519,61.53539,62.8
400528,63.711468,63.5
400545,67.531204,68.0
400560,63.743614,58.4
400563,65.39551,65.4
400567,69.48054,68.1
400581,40.51737,33.3
400582,67.06036,66.9
400586,65.33804,67.4
400637,63.043056,63.3
400643,66.21179,66.6
400648,65.452324,64.5
400649,64.58753,66.4
400654,42.0325,32.6
400664,42.259113,27.8
400665,65.59054,64.4
400668,23.3368,26.2
400673,67.00388,66.1
400677,65.61846,64.8
400687,60.31141,40.2
400688,39.881943,38.1
400690,66.61659,66.9
400700,66.03999,66.1
400709,64.863754,62.6
400713,49.696983,41.199997
400714,54.23221,45.3
400715,59.01393,66.8
400717,64.79356,65.7
400723,64.67283,64.1
400743,67.39848,66.2
400750,46.959137,18.400002
400760,56.58633,47.2
400772,66.093124,66.5
400790,61.888985,63.899998
400792,67.73964,67.8
400794,69.91639,69.9
400799,62.726353,61.8
400804,65.63497,64.7
400822,62.852192,44.699997
400823,66.71022,65.9
400828,66.92796,66.2
400832,63.315937,54.8
400837,62.721325,64.2
400842,66.81715,66.6
400863,56.57644,58.3
400869,66.85689,67.1
400873,66.30698,68.1
400895,64.90595,67.6
400904,67.63183,67.5
400907,65.84293,65.4
400911,58.99348,58.7
400916,65.93075,67.5
400922,65.57836,66.5
400934,64.098625,64.4
400951,67.06649,63.7
400952,60.756775,58.3
400953,61.694763,61.2
400964,55.2467,41.300003
400965,52.670143,53.5
400970,59.757763,67.4
400971,49.073147,46.5
400973,64.91556,63.899998
400995,69.21482,70.3
400996,45.995186,40.2
401014,45.993866,42.4
401129,65.75237,64.8
401154,65.65302,65.6
401163,70.78654,69.799995
401167,57.780415,46.5
401210,63.982464,61.899998
401224,66.72334,66.2
401327,64.814255,64.3
401351,58.157303,58.0
401388,65.53352,64.5
401391,66.79214,66.6
401400,56.12007,48.9
401403,58.75189,61.1
401440,58.84688,57.7
401457,56.70867,59.7
401464,64.4,63.399998
401489,65.40823,63.899998
401495,66.14741,66.8
401507,65.64391,65.3
401534,57.81246,59.2
401541,65.55724,66.3
401555,57.920174,42.2
401560,64.88875,66.1
401567,61.06352,61.399998
401597,51.046207,38.9
401606,65.71354,65.8
401611,66.20929,66.6
401655,61.125557,61.3
401808,63.46451,61.899998
401809,63.050697,63.899998
401810,61.2397,57.7
401811,67.23982,67.0
401816,66.004395,65.1
401817,60.6602,56.7
401845,67.106125,66.3
401846,68.30186,67.5
401890,41.54806,28.5
401891,64.5091,65.0
401906,56.89142,57.4
401908,66.24472,65.8
401926,68.49472,69.0
401936,67.41979,68.2
401937,66.79137,67.7
401942,65.841835,66.6
401943,66.56206,67.1
401948,55.364872,56.0
401957,65.76734,65.5
401958,66.17695,65.3
401994,56.605877,58.4
401996,61.153355,60.5
401997,59.97078,61.7
401998,61.678425,64.7
402056,65.065575,66.1
402057,65.63287,66.7
402058,65.58468,65.7
402059,62.900276,62.5
402060,64.281685,62.899998
402061,66.019585,64.6
402067,68.809616,67.8
402117,65.95459,66.3
402118,55.681763,50.4
402119,63.388737,64.5
402120,62.595955,62.1
402121,62.272648,62.0
402281,62.154068,62.7
402282,60.20673,60.2
402283,61.77452,59.9
402284,59.634438,58.4
402285,61.986393,58.2
402286,61.76029,58.6
402287,58.39963,58.7
402288,63.545467,65.2
402289,58.892952,61.5
402359,52.54724,48.0
402360,64.04695,65.4
402361,46.32186,31.5
402362,45.51527,44.2
402363,61.42226,60.8
402364,57.975,61.0
402365,67.026,63.5
402366,57.741848,59.399998
402367,65.20991,65.8
402368,61.621017,62.6
402369,64.56629,64.6
402370,60.169456,59.399998
402371,63.958755,64.0
402372,56.7364,58.2
402373,64.44886,63.8
403225,62.55801,61.2
403265,61.79234,60.5
403329,66.8516,65.9
403401,64.94945,67.0
403402,64.324615,64.2
403404,63.52194,63.899998
403406,70.56223,70.3
403409,70.98172,71.4
403412,67.28569,59.3
403414,66.84339,64.8
403419,67.22562,64.3
404370,68.35059,68.1
404434,57.993744,49.9
404435,64.5949,62.899998
404444,65.78687,65.7
